taxa	connect_r1	mod_r1	nest_r1	robustness_LL_r1_large_to_small 
frogs	0.2824242	0.2382987	51.07605	0.6882086
frogs	0.2824242	0.2049955	50.13986	0.6110596
frogs	0.2824242	0.2249443	46.53668	0.6336822
frogs	0.2741176	0.2118661	49.69693	0.6968747
frogs	0.29125	0.2200998	55.837	0.6846033
frogs	0.2662857	0.2208735	48.73072	0.6696968
frogs	0.3006452	0.2235812	49.00758	0.6995094
frogs	0.2824242	0.2035956	52.58805	0.6713279
frogs	0.2824242	0.214666	49.06082	0.6389755
frogs	0.2662857	0.2083848	49.69586	0.658947
frogs	0.29125	0.2167842	51.29323	0.6138214
frogs	0.3006452	0.2311886	48.11769	0.6931272
frogs	0.2824242	0.2198604	47.84365	0.7152903
frogs	0.2824242	0.2224023	53.94133	0.6890869
frogs	0.29125	0.2221076	48.89016	0.703945
frogs	0.29125	0.2247601	52.72369	0.6647317
frogs	0.29125	0.2149238	45.79707	0.7219899
frogs	0.29125	0.2245206	46.05262	0.6969652
frogs	0.2824242	0.2274494	51.6161	0.666166
frogs	0.2741176	0.234891	48.89434	0.6825847
frogs	0.2824242	0.2226602	48.15539	0.6353165
frogs	0.2741176	0.2159369	48.5151	0.6301373
frogs	0.29125	0.2295677	49.47944	0.6324566
frogs	0.2662857	0.2339148	48.87911	0.6799333
frogs	0.2741176	0.2283704	48.72799	0.7178475
frogs	0.2662857	0.2217392	50.30473	0.6731911
frogs	0.29125	0.230765	51.52106	0.6459961
frogs	0.2662857	0.2252206	48.56848	0.6321213
frogs	0.2662857	0.2192709	47.28711	0.7375805
frogs	0.2662857	0.2358673	46.31362	0.6540314
frogs	0.2824242	0.2226234	51.46197	0.715379
frogs	0.2824242	0.2268968	50.21955	0.6800243
frogs	0.2824242	0.2227523	52.1979	0.6507212
beetles	0.2014519	0.3451019	41.50042	0.4768361
beetles	0.1825658	0.3480237	45.71491	0.4279231
beetles	0.2014519	0.3506209	45.57483	0.472542
beetles	0.188455	0.3475367	39.70422	0.4903422
beetles	0.1947368	0.3330898	41.19189	0.4782518
beetles	0.1947368	0.3334145	37.80799	0.5426232
beetles	0.188455	0.3352812	43.35605	0.5028266
beetles	0.1825658	0.3223764	41.41019	0.4805034
beetles	0.2086466	0.3280578	46.68662	0.4804441
beetles	0.188455	0.3354436	40.03122	0.5112979
beetles	0.2163743	0.3244055	35.26812	0.5278193
beetles	0.1947368	0.3399075	38.09275	0.5121811
beetles	0.2014519	0.339664	40.30629	0.5040777
beetles	0.188455	0.3373914	36.12295	0.4639702
beetles	0.188455	0.3455888	37.30454	0.5097313
beetles	0.2086466	0.331142	43.04699	0.5054123
beetles	0.2014519	0.3132051	37.99093	0.5147232
beetles	0.1947368	0.381706	44.08739	0.4566001
beetles	0.188455	0.3204285	40.60979	0.4810476
beetles	0.2163743	0.3230257	32.07949	0.4915478
beetles	0.188455	0.344696	39.51443	0.5205511
beetles	0.1947368	0.3445337	43.44132	0.4403642
beetles	0.1947368	0.321646	39.48192	0.4886023
beetles	0.2014519	0.3343073	36.70416	0.4843486
beetles	0.2014519	0.3319536	40.86251	0.5410509
beetles	0.1947368	0.3414496	34.65364	0.509217
beetles	0.1947368	0.3184806	35.57047	0.4875456
beetles	0.2086466	0.3591429	34.76064	0.5359665
beetles	0.2014519	0.3529746	36.48525	0.4830118
beetles	0.2014519	0.3209967	38.86246	0.5351036
