taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
birds	Tolmomyias_poliocephalus	10.8	2.997002997	2	0.08	0.0006	-1.48315966	1.93E-04
birds	Troglodytes_musculus	10.85	3.010878011	6	0.24	0.0219	-0.91116183	1.41E-02
birds	Trogon_rufus	53.8	14.92951493	3	0.12	0.0035	0.90512774	9.52E-04
birds	Trogon_viridis	89.69	24.88899989	1	0.04	0	-1.68205106	0.00E+00
birds	Tunchiornis_ochraceiceps	11.6	3.219003219	2	0.08	0.0012	1.54918486	3.36E-04
birds	Turdus_albicollis	54	14.98501499	12	0.48	0.017	1.91946071	1.28E-02
birds	Tyranneutes_virescens	7.18	1.992451992	1	0.04	0	-1.22960381	0.00E+00
birds	Willisornis_poecilinotus	18.4	5.106005106	9	0.36	0.0172	1.6801972	8.02E-03
birds	Xenops_minutus	10.6	2.941502942	5	0.2	0.0118	1.66447981	4.20E-03
birds	Xiphorhynchus_obsoletus	32.6	9.046509047	3	0.12	0.0047	-0.20368748	1.22E-03
birds	Xiphorhynchus_pardalotus	34.57	9.593184593	17	0.68	0.0416	2.47826545	3.32E-02
birds	Zebrilus_undulatus	123	34.13253413	1	0.04	0	-0.08880491	0.00E+00
frogs	Adenomera_andreae	28	11.61825726	18	0.72	0.052938217	2.2902506	0.063084143
frogs	Adenomera_hylaedactyla	30	12.44813278	7	0.28	0.03093747	0.9758438	0.010208103
frogs	Ameerega_hahneli	23	9.543568465	6	0.24	0.042147299	1.6646096	0.00953475
frogs	Ameerega_trivittata	49.5	20.53941909	20	0.8	0.093384645	2.7024455	0.082844412
frogs	Anomaloglossus_stepheni	18.24	7.56846473	12	0.48	0.111715379	1.135095	0.08240645
frogs	Atelopus_hoogmoedi	41.2	17.09543568	2	0.08	0.000755051	0.7928137	0.000364927
frogs	Boana_boans	132	54.77178423	12	0.48	0.124634645	2.445385	0.058751891
frogs	Boana_calcarata	61	25.31120332	11	0.44	0.034360656	1.8031201	0.022256916
frogs	Boana_cinerascens	36.2	15.02074689	14	0.56	0.036164976	1.0406659	0.035261699
frogs	Boana_fasciata	51.2	21.24481328	3	0.12	0.000755051	0.7494947	0.000705998
frogs	Boana_lanciformis	94	39.00414938	3	0.12	0.007601076	1.4000761	0.00126178
frogs	Ceratophrys_cornuta	120	49.79253112	3	0.12	0.029318947	1.8707494	0.003039117
frogs	Chiasmocleis_shudikarensis	32	13.2780083	3	0.12	0.013753788	-0.1395512	0.002190042
frogs	Dendropsophus_brevifrons	25	10.37344398	20	0.8	0.093384645	2.7075282	0.088568538
frogs	Dendropsophus_minusculus	24	9.958506224	19	0.76	0.074509645	1.9928238	0.084982562
frogs	Dendropsophus_parviceps	27	11.2033195	1	0.04	0	2.0087968	0
frogs	Elachistocleis_bicolor	43	17.84232365	8	0.32	0.034360656	1.5760698	0.013165556
frogs	Leptodactylus_cf_knudseni	51.6	68.46473029	4	0.16	0.008729289	-0.584793	0.003930904
frogs	Leptodactylus_cf_pentadactylus	165	76.76348548	10	0.4	0.052938217	2.4469358	0.01997153
frogs	Leptodactylus_longirostris	185	21.41078838	1	0.04	0	0.7701433	0
frogs	Leptodactylus_stenodema	146	60.58091286	1	0.04	0	0.6224141	0
frogs	Osteocephalus_oophagus	62.7	26.01659751	6	0.24	0.017586222	0.4348194	0.005965856
frogs	Osteocephalus_taurinus	103.9	43.1120332	4	0.16	0.013134667	1.2512441	0.002806151
frogs	Phyllomedusa_vaillantii	84	34.85477178	1	0.04	0	0.3899096	0
frogs	Pristimantis_fenestratus	55	22.82157676	5	0.2	0.032781104	1.6931966	0.005805256
frogs	Pristimantis_ockendeni	29.5	12.2406639	8	0.32	0.01955258	-0.4203026	0.008957807
frogs	Pristimantis_zimmermanae	25.8	10.70539419	19	0.76	0.07014655	2.1858538	0.083515047
frogs	Rhaebo_guttatus	140	58.09128631	1	0.04	0	-1.2175804	0
frogs	Rhinella_marina	241	100	1	0.04	0	-2.4507409	0
frogs	Rhinella_merianae	90	37.34439834	1	0.04	0	1.1419342	0
frogs	Scinax_garbei	49.1	20.37344398	1	0.04	0	-0.4194914	0
frogs	Scinax_ruber	45	18.67219917	2	0.08	0.002541344	1.0292489	0.000387204
frogs	Synapturanus_mirandaribeiroi	42	17.42738589	4	0.16	0.001867882	0.9275193	0.001441897
frogs	Trachycephalus_coriaceus	66	27.38589212	1	0.04	0	-0.6329201	0
frogs	Trachycephalus_resinifictrix	88	36.51452282	1	0.04	0	0.5207559	0
beetles	Ateuchus.sp.1	0.011	27.38589212	2	0.10526316	0.0467071	0.60534066	0.008848675
beetles	Ateuchus.sp.2	0.011	36.51452282	8	0.42105263	0.033168801	-0.35908915	0.059669103
beetles	Canthidium.deyrollei	0.012	1.714285714	1	0.05263158	0	0.32348587	0
beetles	Canthidium.dohrni	0.03	4.285714286	2	0.10526316	0.007400905	0.0213724	0.001402519
beetles	Canthidium.gerstaeckeri	0.013	1.857142857	2	0.10526316	0.0467071	0.9258525	0.008848675
beetles	Canthidium.sp.1	0.01	1.428571429	3	0.15789474	0.00102173	-1.38500601	0.003684375
beetles	Canthidium.sp.2	0.01	1.428571429	3	0.15789474	0.003324202	-0.77787713	0.003698231
beetles	Canthon.aff..juvencus	0.0031	0.442857143	1	0.05263158	0	-1.67476911	0
beetles	Canthon.sordidus	0.011	1.571428571	4	0.21052632	0.050144172	1.19195984	0.013115546
beetles	Canthon.triangularis	0.04	5.714285714	7	0.36842105	0.037334152	0.6674303	0.037827769
